color,l,a,b,parent
蝙蝠灰,39.557,-5.012,2.917,青
浅豆灰,59,6,6,青
橄榄石灰,55.115,-7.373,1.897,青
橄榄灰,45.359,-1.469,9.288,青
蛛纲灰,57.327,10.467,4.656,青
粉紫,65.9,11.8,-27,青
淡紫,71.859,6.927,-22.277,青
月兰,45,-16,-43,青
深月兰,35,-8,-43,青
蓝采和,27.297,0.099,-30.4,青
晚天兰,57,-21,-34,青
深孔雀兰,34,-22,-29,青
深蝶兰,49,-31,-14,青
浅兰,73,-8,-18,青
天兰,68,-19,-25,青
深中蓝,33,4,-39,青
阴丹士林,28.927,1.027,-26.392,青
罗蓝灰,39.486,5.596,-13.572,青
竹月色,71.105,-3.614,-11.588,青
焰蓝,71.58,4.718,-32.921,青
飞燕草蓝,40.903,4.762,-48.008,青
藏青,32.68,3.153,-25.664,青
深蛋青,35,-29,-20,青
承德皂,41.411,-0.299,3.615,青
海青,67.875,-17.491,-28.626,青
黝绿,45.022,-13.913,5.065,青
织锦灰,61.223,-3.941,-1.358,青
墨绿,32.145,-34.474,-0.609,青
沙绿,47.721,-17.358,0.707,青
深杏灰,48,7,11,青
琉璃色,51.761,8.215,11.993,青
浅咖啡,50,8,10,青
濯绛,45.374,5.34,6.994,青
银褐,62.912,12.104,3.717,青
罗兰紫,27.959,49.076,37.273,赤
茶叶末,38.867,29.996,43.885,赤
深米棕,66,28,42,赤
浅血牙3,75,36,35,赤
媚蝶,54.156,26.314,42.949,赤
深肉色,75,31,35,赤
粉橙色,66.873,26.318,38.757,赤
美人焦橙,65.713,40.252,56.882,赤
橘橙,68.621,37.324,51.883,赤
樱红,52,61,28,赤
橙色,57.891,30.342,50.018,赤
朱樱,31.43,46.791,27.322,赤
朱湛,35.405,42.143,24.859,赤
朱孔阳,39.898,60.281,27.572,赤
丹罽,48.099,74.232,56.84,赤
朱颜酡,71.759,29.213,32.57,赤
拉丝红,51.308,73.75,55.582,赤
朝霞红,28.147,50.955,37.545,赤
深西红,50,56,27,赤
朱缥,64.48,54.19,51,赤
夕阳红,56.559,62.911,34.945,赤
苹果红2,71.559,47.2,28.738,赤
苹果红,60.942,54.498,28.143,赤
谷鞘红,68.949,42.928,26.881,赤
铁水红,58.06,63.32,37.238,赤
野蔷薇红,73.24,30.805,31.469,赤
燕颔红,61.377,55.446,66.472,赤
唐菖蒲红,50.707,64.132,32.542,赤
鹅冠红,44.925,66.647,39.401,赤
赭红,49.52,25.693,24.031,赤
棠梨褐,44.371,21.685,24.056,赤
緅絺,37.764,18.955,26.91,赤
槟榔棕,48.525,27.405,44.569,赤
筍皮棕,28.495,28.761,31.816,赤
火泥棕,48.533,21.849,23.621,赤
水龙吟,63.92,-29.619,57.069,黄
人籁,71.762,-29.51,69.043,黄
翠缥,80.116,-29.27,70.604,黄
嫩草绿,65.584,-14.742,41.767,黄
苦瓜绿,85.305,-16.129,38.581,黄
牙绿,88.995,-13.346,37.052,黄
芽绿,73.627,-23.126,45.928,黄
浅豆黄,75,7,28,黄
姚黄,81.372,-11.679,35.954,黄
少艾,90.787,-15.179,39.427,黄
芸黄,70.163,10.604,35.129,黄
蜜合色,79.891,14.061,25.825,黄
黄白游,96.031,-10.313,46.092,黄
虎黄,69.5,38.5,65.5,黄
琉璃黄,76.777,5.07,78.387,黄
卡其黄,73.833,1.082,30.244,黄
浅血牙2,82,23,26,黄
萱草黄,65.849,31.541,63.55,黄
土布色,73.71,8.686,29.76,黄
柳叶黄,67.27,-11.89,66.45,黄
北瓜黄,72.843,33.014,50.26,黄
万寿菊黄,69.771,38.583,65.864,黄
枇杷黄,75.384,29.859,69.747,黄
橙皮黄,75.102,26.757,78.875,黄
麦芽糖黄,88.473,7.812,33.385,黄
篾黄,87.582,1.97,30.965,黄
谷黄,74.963,8.371,77.288,黄
金盏黄,81.7,7.089,82.675,黄
柚黄,83.106,-3.846,80.767,黄
迎春黄,91.054,-7.01,79.097,黄
赤黄,78.2,20.1,24.9,黄
椒房,69.218,16.887,41.456,黄
蝶粉,77.673,13.193,25.761,黄
鲑鱼红,73.568,22.502,36.8,黄
石蜜,77.914,-0.374,29.989,黄
凋叶棕,71.078,20.707,39.973,黄
白珊瑚,97.57,0.77,3.45,白
鸣珂,72.913,-5.103,12.521,白
银灰色,66.65,3.326,-0.115,白
淡玫瑰灰,62.929,13.809,7.598,白
星灰,69.758,-0.022,-7.071,白
莲瓣白,93.539,3.703,-12.206,白
肉棕灰,66.655,5.365,14.759,白
银灰,66.368,3.054,7.989,白
樱花,79.375,20.531,-8.54,白
盈盈,88.101,15.828,-2.915,白
淡青莲,81.348,17.024,-13.896,白
淡蓝紫,70.492,10.147,-14.732,白
石蕊蓝,71.597,13.044,-18.173,白
晴山,75.102,-1.094,-18.728,白
碧落,81.991,-4.611,-18.46,白
浅兰绿,85,-16,-1,白
井天,78.476,-11.576,-5.566,白
云门,81.436,-11.911,-12.967,白
鱼青,75,-8,7,白
海沫绿,78.427,-10.512,18.713,白
虾灰,73.981,-5.767,17.327,白
浅鲜绿,87.003,-16.213,0.173,白
碧玉,84.31,-16.99,18.44,白
浅灰绿,71.578,-0.457,18.416,白
浅嫩黄,94,-11,28,白
浅蜜,99,-3,22,白
女贞黄,93.425,-6.612,32.634,白
半见,97.785,-6.761,25.473,白
凝脂,98,-5.588,8.298,白
杏皮,67.5,9,18.5,白
水晶末,77.777,13.952,22.833,白
浅血牙,79.259,21.976,16.277,白
骆驼色,73.674,7.445,23.739,白
米黄,86.624,2.897,28.663,白
浅妃,90,17,6,白
浅粉红,82.5,25.5,7.5,白
漂净肤色,83.92,23.7,19.4,白
淡粉,74.178,19.64,-2.742,白
无花果红,75.923,23.554,6.458,白
洋水仙红2（munsell),83.853,24.825,5.934,白
玉粉红,75.957,16.23,20.912,白
丁香褐,65.178,11.826,15.584,白
瓷秘,76.666,-7.313,21.123,白
乳棕,76.138,-1.305,23.749,白
黑彩,12.533,3.602,4.734,黑
珠母灰,44.377,9.824,8.875,黑
深灰2,33,-3,-12,黑
暗蓝紫,13.244,5.759,-19.06,黑
火鹅紫,11.262,16.986,0.359,黑
栗紫,26.709,27.641,11.014,黑
葡萄紫,27.624,15.57,-8.582,黑
獭见,10.544,0.33,-9.264,黑
佛头青,21.259,7.415,-29.675,黑
帝释青,21.208,3.37,-30.456,黑
螺子黛,21.625,-11.504,-7.121,黑
骐驎,15.897,8.244,-27.615,黑
深景蓝,29,5,-25,黑
劳动布色,32.174,4.219,-19.389,黑
靛蓝,28.395,4.14,-27.054,黑
结绿,38.987,-7.625,9.021,黑
油青,28.99,4.57,22.198,黑
毛青,27.21,-0.13,-24.75,黑
螺青,32.055,-11.335,10.253,黑
燋茶色,42.371,-3.186,10.93,黑
云杉绿,18.616,-13.184,2.487,黑
苷蓝绿,14.394,-3.902,0.944,黑
苍绿,37.735,-9.103,5.36,黑
深海绿,31.672,-13.804,-0.986,黑
蟹壳绿,41.139,3.475,20.857,黑
焦茶绿,36.813,4.572,25.744,黑
赭绿,39.691,-0.399,22.224,黑
深草绿 ,37,-9.167,12,黑
朱古力色,44.864,6.067,12.914,黑
褐红,10.053,14.169,9.815,黑
玛瑙红,17.558,28.155,20.398,黑
栗色,24.724,29.51,17.204,黑
驼褐,41.4,9.695,21.962,黑
素綦,35.102,-2.887,19.631,黑
龙战,30.778,7.969,25.081,黑
橡树棕,38.404,18.416,13.614,黑
柞叶棕,29.791,24.141,20.904,黑
丁香棕,43.97,14.692,17.33,黑
暗砖灰,43.048,10.319,5.342,黑
茶褐,42.206,13.793,20.566,黑
浅杏灰,63,6,12,绿
杏灰,60.5,7,13,绿
燕羽灰,45.92558436,-0.405317634,12.41335102,绿
猴毛灰,60.560366,6.894201607,9.829268889,绿
麹尘,81.155,-14.128,23.583,绿
欧碧,82.63,-18.276,29.743,绿
鳝鱼皮,53.04342417,-9.74115606,35.65646753,绿
柳色,58.571,-20.911,45.378,绿
庭院瓦灰色,53.532,-1.247,8.688,绿
螳螂绿,76.5274989,-21.68252103,14.54414751,绿
嫩荷绿,84.92377881,-22.35779174,18.77042227,绿
青菜绿,71.58316435,-51.09692881,45.4172776,绿
潭水绿,39.33912733,-2.802818819,25.63627295,绿
大绿,33.1,-29.4,11.3,绿
蘋婆绿,40.2096,-28.1302,1.8136,绿
橄榄绿,41.17460391,-5.583304473,30.89897825,绿
紫杉绿,33.62058343,-21.10681967,15.21051759,绿
果绿,63.5468,-30.9568,25.1154,绿
浅嫩绿,81,-25.5,38.5,绿
龟背黄,46.618,4.049,23.017,绿
明茶褐,56.587,6.266,18.476,绿
沉香,55.374,6.453,14.444,绿
养生主,65.498,4.95,18.115,绿
大块,69.702,3.201,22.38,绿
咖啡棕,50.175,4.273,16.873,绿
绍衣,66.684,1.621,3.501,碧
人熊东方白,72,-4,-2,碧
海鸥灰,61.61551346,6.764362996,8.410816093,碧
青鸾,67.785,-2.49,-6.706,碧
深水兰,55,-35,-20,碧
浅翠兰,74,-30,-13,碧
浅翠兰2,70,-24,-22,碧
甸子蓝,64.04266255,-32.33163052,-22.70583903,碧
秋波蓝,73.79964717,-5.961514673,-15.64084976,碧
湖蓝,80.7,-18.1,-4.2,碧
青虾,57.79,-6.081,0.935,碧
霁青,76.36441397,-13.23876543,-18.70618397,碧
二青,75.9,-25.2,-12.5,碧
蛋青,76.9647876,-10.15159108,-8.308622016,碧
渌波,70.741,-14.337,12.476,碧
牡蛎绿,71.59692279,-16.03820631,12.70526172,碧
彩绿,40,-43,0,碧
中条虾绿,57.137,-3.967,4.049,碧
玉绿,82.976,-21.897,7.952,碧
暗橄榄绿,52.87247754,-14.07232657,5.192149054,碧
孔雀绿,52.1084874,-38.12293635,5.231078818,碧
蛙绿,69.36277783,-38.4052069,9.554650599,碧
麦苗绿,73.23123406,-35.2818296,11.62415446,碧
竹绿,64.34075652,-41.22172704,1.954444879,碧
艾绿,71.18607158,-14.02909847,12.563031,碧
深翠绿,43,-32.5,1,碧
红踯躅,44.103,56.819,-3.536,红
葛花紫,21.85454597,35.21043013,17.91355552,红
菜头紫,39.80104343,49.36767558,-2.221564732,红
深杏,57,15,16.5,红
杏肉,69.5,16,20.5,红
熟褐,46.67,15.497,19.267,红
深锈红,38,25,14,红
爵头,20.612,35.671,20.208,红
顺圣,26.949,41.885,23.68,红
浅粉红2,82,42,10,红
玫红,44,60,4,红
深玫红,37,53,6,红
波根红,77,31,1,红
深牙妃,78,26,14,红
蕉红色,40.98,51.769,25.508,红
血红,34.902,29.308,22.961,红
鲜红,65.29922417,58.35439821,25.1765886,红
淡罂粟红,74.10370935,33.67326113,22.78477303,红
淡纬红,71.56594766,23.8379879,2.777691723,红
淡藏花红,79.13723039,27.59218254,21.09493673,红
龙须红,55.01503702,53.87550828,-10.6810305,红
菱锰红,63.85337762,43.34991023,-8.118149239,红
藏花红,52.30265732,67.07395543,1.196198849,红
扁豆花红,60.83036472,59.39740137,-4.293164893,红
紫荆红,53.52896256,67.21900918,1.325834444,红
酢酱草红,58.82109846,34.04437668,-2.066517609,红
榲桲红,53.041,72.51,14.221,红
垂丝海棠红,71.59707527,44.77461186,-7.753099651,红
芍药绯红,68.88530077,29.60116124,-1.910115724,红
淡曙红,53.86818255,63.4395732,27.02304555,红
霉红,61.6440738,24.29943558,3.354453714,红
褪色玫瑰,66.7007681,16.78215604,12.75944531,红
红（赤白）a,42.215,61.534,24.592,红
洋红,50.4705,55.744,-10.525,红
赫色,43.435,24.92,23.15,红
椒褐,42.3065,24.0845,12.2165,红
红棕,47,25,23.5,红
杏棕,55,17.5,23,红
淡咖啡,49.08668678,16.58461938,21.60901783,红
暮云灰2,55.66044196,10.88703177,2.758325617,紫
油紫,13.249,29.798,-8.929,紫
紫薄汗,69.73,17.311,-17.926,紫
赪紫,32.522,54.663,-24.45,紫
浅雪青,67.66666667,14.66666667,-15,紫
丁香色,68.511,16.06,-17.3165,紫
紫绛色,26.672,22.486,1.172,紫
浅凤仙紫,66.185,32.351,-31.066,紫
浅石英紫,65.458,16.057,-22.914,紫
紫薇花,72.686,32.123,-17.535,紫
红光甲基紫,41.2169516,46.90013556,-34.70787651,紫
葡萄酱紫,24.70476685,31.60426951,13.93794954,紫
绀宇,25.557,5.947,-36.367,紫
苍苍,50.245,9.147,-39.064,紫
紫蓝,7.152926203,26.96018088,-21.99191542,紫
深艳兰,32,5,-31,紫
鲜蓝,36.515,28.887,-58.842,紫
海涛蓝,39.91070861,6.249850428,-38.44567815,紫
普蓝,33.19266667,5.296,-39.95766667,紫
群青,34.55628571,7.748857143,-44.38057143,紫
驼色,52.99950964,13.39643758,13.39995103,紫
豆沙,40.30341523,16.74087581,11.97743724,紫
中红灰,54.19417428,10.967015,12.45280023,紫
荷花红,62.293,40.873,-9.205,紫
姜红,65.70910573,20.82009593,0.990238274,紫
暗紫苑红,35.23373607,34.08633942,7.948687687,紫
牡丹色,44.927,56.289,-11.489,紫
红豆沙,56,12,11,紫
浅玫瑰,49,41,-3,紫
荷花,71.8,27.8,-12,紫
藕丝褐,59.346,12.558,4.771,紫
岩岱赭,39.34,18.46,12.96,紫
海豹灰,44.37448298,10.28619604,5.251567421,紫
选金,62.415,0.568,27.555,流黄
深芽绿,60.239,-15.311,45.896,流黄
新芽色,65.415,-5.654,36.739,流黄
砂绿,49,-21,49,流黄
粽叶绿,45.796,4.485,46.23,流黄
暗海水绿,38.48338435,1.530420319,32.34024476,流黄
浅红棕,66,19,27,流黄
枯黄,67.4375,17.7385,37.281,流黄
驼黄,51,24,39,流黄
浅杏色,65,20,27,流黄
黄鸭色,47.393,13.756,22.634,流黄
秋香色,64.79442857,6.273,52.28471429,流黄
深黄,64.8,25.1,59.5,流黄
雄黄,66.48808187,30.43249571,57.63058322,流黄
栗子色,40.11,22.629,40.222,流黄
玛瑙粉,67.297,13.472,24.777,流黄
射干,43.33,5.641,23.852,流黄
沙饧,69.126,1.572,31.308,流黄
紫瓯,35.519,19.646,33.114,流黄
黄埃,62.928,8.34,21.266,流黄
棕榈绿,38.44039879,1.622833423,38.91483889,流黄
古铜褐,35.44287174,12.05257944,28.25511769,流黄
浅棕,58.7,11.05,17.1,流黄
褐色,42.7805,19.079,29.15625,流黄